vocab,syn,morphs
망신,"수모, 창피; 무안/오욕/치욕",망신
망원경,"만리경, 천리경",망원경
망치다,"망가뜨리다, 잡치다",망치
맞다,"맞이하다; 맞이하다; 받다; 들이다, 맞이하다; 어울리다; 옳다",맞
맞먹다,엇비슷하다; 대등하다,맞먹
맞서다,"대립하다, 대적하다; 대들다/맞붙다",맞서
맞아떨어지다,일치하다,맞아떨어지
맞은편,맞은쪽; 건너편,맞은편
맞이하다,맞다; 맞다,맞이
맞춤,맞추다,맞춤
맞춤법,"정서법, 철자법",맞춤법
맞히다,맞추다; 맞추다,맞히
맡기다,"부탁하다, 의뢰하다, 일임하다",맡기
맡다,맡아보다; 담당하다; 보관하다; 차지하다; 받다,맡
매,각; 장,매
매기다,정하다; 매다,매기
매끄럽다,"매끈하다, 부드럽다",매끄럽
매달다,걸다,매달
매료,"매혹, 홀리다; 매혹되다/사로잡다",매료
매매,매수,매매
매번매번,번번이,매번
매섭다,냉혹하다,매섭
매입,"구매, 구입, 매수, 사다, 사들이다",매입
매장,추방,매장
매점,가게,매점
매진,"품절; 노력, 주력, 힘쓰다",매진
매출,판매; 판매/영업/매상,매출
매콤하다,맵다,매콤
맥,"기운, 힘",맥
맥락,맥; 문맥/문리,맥락
맥박,맥,맥박
맨손,"백수,; 빈손",맨
맵시,태,맵시
맹렬하다,"드세다, 사납다",맹렬
맹세,"다짐, 서약",맹세
머리기사,"톱, 톱기사",머리기사
머리칼,"머리, 모발",머리칼
머무르다,"숙박하다, 지내다, 체류하다; 멈추다",머무르
머물다,"숙박하다, 지내다, 체류하다; 거주하다/기거하다",머물
머뭇거리다,"머뭇대다, 머뭇머뭇하다; 망설이다",머뭇거리
머지않다,가깝다,머지않
먹구름,먹장구름,먹구름
멀쩡하다,"성하다, 온전하다; 성하다, 온전하다",멀쩡
멋대로,마음대로,멋대로
멋스럽다,"멋있다, 멋지다; 멋있다",멋
멋지다,멋있다,멋지
멍청하다,"미련하다, 어리석다",멍청
멍하다,"망연하다, 얼떨떨하다",멍
멎다,멈추다,멎
메뉴판,"메뉴, 차림표; 메뉴",메뉴판
메다,막히다,메다
메마르다,척박하다; 건조하다/척박하다/토박하다,메마르
메우다,메꾸다; 채우다,메우
멜로디,"가락, 선율",멜로디
며느리,새아기,며느리
면,"방면, 부분, 측면; 국수; 모면하다, 피하다; 모면하다, 피하다; 국수; 피하다",면
면담,상담,면담
면도,면도칼,면도
면모,면목; 측면/양상/단면,면모
면역,저항력,면역
면적,넓이,면적
면접,면접시험; 면접,면접
면제,면책; 해제하다/해면하다/면책하다,면제
멸망,"몰락, 종말; 몰락하다/쇠하다/멸하다/망하다",멸망
명단,"리스트, 명부",명단
명당,명당자리,명당
명랑,쾌활하다,명랑
명령,명,명령
명목,"명분, 명색; 구실/명칭/명색",명목
명백하다,"분명하다, 확실하다",명백
명백히,"분명히, 확실히",명백히
명분,"명목, 명색, 이름",명분
명성,명망; 명예/평판/명망/정평,명성
명승지,"명승, 경승지",명승지
명심,"유념, 새기다; 유념하다/새기다",명심
명예,이름,명예
명중,적중,명중
명칭,이름; 이름/성함/호칭/명목,명칭
명확하다,"분명하다, 확실하다",명확
명확히,"분명히, 확실히",명확히
모모,아무개,모모
모국어,모어,모국어
모델,패션모델,모델
모발,"머리카락, 머리털",모발
모방,흉내; 답습하다/본뜨다,모방
모범,"귀감, 본보기; 본보기/귀감",모범
모색,찾다; 찾다/타협을/살길을/해결책을,모색
모서리,귀퉁이,모서리
모순,아이러니; 당착/상충,모순
모욕,"모멸, 수모",모욕
모유,어미젖,모유
모음,홀소리,모음
모조리,남김없이; 모....모든/다,모조리
모질다,"악독하다, 잔인하다",모질
모집,"공모, 선발, 뽑다",모집
모처럼,일껏; 오랜만에,모처럼
모친,어머니,모친
모퉁이,코너,모퉁이
모티브,모티프,모티브
모호하다,"불분명하다, 애매하다",모호
목,목요일; 목요일,목
목격,보다,목격
목구멍,목,목구멍
목덜미,덜미,목덜미
목돈,뭉칫돈,목돈
목록,리스트,목록
목마르다,"갈구하다, 갈망하다",목마르
목사,목자,목사
목숨,명,목숨
목재,나무,목재
목적지,행선지,목적지
목표,"목적, 취지; 목적",목표
몫,책임; 역할/책임,몫
몰다,"운전하다, 끌다; 모함하다; 몰아가다, 몰아넣다",몰
몰두하다,골몰하다; 몰입하다,몰두
몰락,멸망,몰락
몰래,남몰래,몰래
몰려들다,"들이닥치다, 몰려오다; 몰려오다",몰려들
몰려오다,"들이닥치다, 몰려들다",몰려오
몰리다,"쏠리다, 쫓기다; 한쪽으로 밀리다",몰리
몰아내다,"내몰다, 내쫓다, 밀어내다, 쫓아내다, 추방하다",몰아내
몰아붙이다,밀어붙이다,몰아붙이
몰입,"몰두, 열중; 집중하다/몰두하다/열중하다",몰입
몸무게,체중,몸무게
몸집,"덩치, 체구",몸집
몸짓,동작,몸짓
몸통,체구,몸통
몹시,대단히,몹시
못나다,못생기다; 못생기다,못나
못되다,나쁘다; 불만스럽다; 안; 언짢다/불쾌하다/앙앙하다,못
몽땅,"모두, 전부",몽땅
묘,"무덤, 산소",묘
묘사,"기술, 서술, 그리다",묘사
묘지,무덤,묘지
묘하다,"기묘하다, 미묘하다, 신기하다, 오묘하다",묘하
무관심,무감각; 무조건/다짜고짜,무
무관하다,무관계하다,무관
무궁무진,무한,무궁무진
무기,병기,무기
무난하다,"수수하다; 무던하다, 원만하다",무난
무너뜨리다,무너트리다,무너뜨리
무너지다,"붕괴되다, 허물어지다; 허물어지다",무너지
무늬,문양; 문양,무늬
무더기,더미,무더기
무더위,"폭염, 한더위",무더위
무덤,"묘지, 분묘",무덤
무덥다,"후덥지근하다, 후텁지근하다",무덥
무뚝뚝하다,뚝뚝하다,무뚝뚝
무렵,"나절, 녘",무렵
무례,"결례, 실례, 버릇없다",무례
무료하다,"심심하다 , 지루하다; 심심하다; 심심하다/지루하다/재미없다/지겹다/따분하다",무료
무르익다,농익다; 농익다/성숙하다,무르익
무릅쓰다,"견디다, 인내하다, 참다",무릅쓰
무리,"과도, 부담, 억지",무리
무모하다,터무니없다; 무분별하다/맹목적인/난폭한/어리석,무모
무병장수,무병장생,무병장수
무분별,맹목적; 몰지각하다/방정맞다/생각이 짧다,무분별
무사히,무고히,무사히
무상,"공짜, 무료",무상
무서워하다,"겁내다, 두려워하다",무서워
무성하다,"번성하다, 우거지다, 울창하다",무성
무소식,"감감소식, 깜깜소식",무소식
무수하다,수없다; 많다; 무궁무진하다/수없다,무수
무수히,수없이,무수히
무술,무예,무술
무시무시하다,살벌하다,무시무시
무식,무지,무식
무심코,그저,무심코
무역,"교역, 수출입",무역
무용,"댄스, 춤",무용
무용지물,쓰레기,무용지물
무조건무조건,"무작정, 무작정, 무턱대고; 무작정/무턱대",무조건
무한,무한정; 무굴무진하다/한없다,무한
무효,"실효, 헛되다",무효
묵념,묵도,묵념
묵다,오래되다; 머무르다,묵
묵직하다,무겁다,묵직
묵히다,썩히다; 방치하다/썩히다,묵히
묶다,매다; 매다; 매다,묶
문구,글귀,문구
문구점,문방구,문구점
문단,문학계,문단
문득,갑자기,문득
문방구,"문구점, 문방구점",문방구
문병,병문안; 병문안,문병
문상,조문,문상
문서,서류; 서류,문서
문의,묻다; 물어보다,문의
문자,글자,문자
문학,문예,문학
문헌,"기록, 문서",문헌
묻다,붙다; 파묻다,묻
묻히다,바르다; 바르다; 찍다,묻히
물가,"강가, 강변; 시가, 시세",물가
물감,그림물감,물감
물기,수분,물기
물끄러미,멀거니; 멍하니/우두커니/하염없이/멀거니:우두커니 한곳만 바라보는 모양.,물끄러미
물들이다,염색하다; 묻다,물
물러가다,"물러서다, 후퇴하다",물러가
물러나다,물러서다; 사직하다; 사직하다/사임하다/사퇴하다/퇴사하다,물러나
물러서다,물러나다; 사직하다,물러서
물려받다,"계승하다, 이어받다",물려받
물려주다,"남기다, 대물리다, 상속하다, 전수하다, 전승하다; 남기다",물려주
물리다,환불하다,물리
물리치다,쓰러뜨리다; 이기다/패배시키다,물리치
물속,수중,물속
물음,"질문, 질의",물음
물자,"물품, 자원",물자
물품,"물건, 제품; 물건",물품
뭉치다,모이다; 결집하다/연합하다,뭉치
미각,미감,미각
미끄럽다,미끌미끌하다,미끄럽
미남,미남자,미남
미녀,미인,미녀
미니,소형,미니
미달,미만,미달
미디어,"매개체, 매체",미디어
미루다,물리다,미루
미만,미달,미만
미묘하다,묘하다,미묘
미성년자,미성년,미성년자
미숙하다,서투르다,미숙
미약하다,"나약하다, 미미하다, 약하다, 힘없다",미약
미용,미장,미용
미움,"증오, 혐오",미움
미인,"미녀, 가인",미인
미장원,미용실; 미용실,미장원
미지근하다,미적지근하다; 미적지근하다,미지근
미처,"아직, 채; 아직 거기까지 미치도록.",미처
미치다,"실성하다; 몰두하다, 몰입하다, 열광하다, 홀리다; 다다르다, 달하다, 이르다; 끼치다, 작용하다",미치
미흡하다,"부족하다, 불만족스럽다; 부족하다",미흡
민감하다,"날카롭다, 예민하다",민감
민속,풍속,민속
민족,"겨레, 동족",민족
민족주의,내셔널리즘,민족주의
민주화,민주주의화,민주
민첩하다,"날쌔다, 재빠르다; 잽싸다/기민하다/재빠르다",민첩
믿음,"신뢰, 신용",믿음
믿음직스럽다,듬직하다,믿음직
밀려들다,"들이닥치다, 밀려오다, 몰려오다",밀려들
밀려오다,"밀려들다, 몰려오다",밀려오
밀리다,쌓이다,밀리
밀림,정글,밀림
밀어붙이다,"몰아넣다, 몰아붙이다; 밀다/떠밀다/밀어내다",밀어붙이
밀어주다,지지하다; 지원하다,밀어주
밉다,싫다; 싫다,밉
및,"그리고, 또",및
밑바닥,"기저, 밑",밑바닥
밑창,밑바닥,밑창
바늘,"분침, 시침, 초침",바늘
바닷물,해수,바닷물
바라다보다,바라보다; 바라보다,바라다보
바람,"기대, 소망, 염원, 희망",바람
바람직하다,바람직스럽다; 옳다,바람직
바래다,"낡다, 변하다, 빠지다",바래다
바래다주다,배웅하다,바래다주
바로잡다,고치다; 고치다; 고치다; 개수하다/개정하다,바로
바르다,"정하다; 곧다, 방정하다; 맞다; 붙이다",바르다
바보,"등신, 멍청이",바보
바삐,속히,바삐
바싹,"가까이, 바짝; 바짝",바싹
바자회,바자,바자회
바짝,바싹,바짝
바치다,주다; 주다,바치
바퀴벌레,바퀴,바퀴벌레
바탕,기반; 토대/기초/기본,바탕
박다,"넣다, 꽂다",박다
박스,상자; 상자; 상자; 상자,박스
박자,템포,박자
박탈,"몰수, 빼앗다; 빼앗다",박탈
박히다,꽂히다,박히
반감,반발심,반감
반값,반액,반값
반기다,반가워하다,반기
반나절,한나절,반나절
반납,"반환, 돌려주다",반납
반대말,반의어,반대말
반듯하다,바르다,반듯
반론,"반박, 이의",반론
반말,낮춤말,반말
반목,갈등,반목
반문,되묻다,반문
반박,논박; 논박하다,반박
반반,절반,반반
반복,되풀이,반복
반성,"고찰, 성찰, 숙고",반성
반응,응답,반응
반짝거리다,"반짝대다, 반짝이다, 반짝반짝하다",반짝거리
반짝반짝,"반짝대다, 반짝반짝하다",반짝반짝
반짝이다,"반짝거리다, 반짝대다, 반짝반짝하다",반짝이
반칙,파울,반칙
반팔,반소매,반팔
반품,무르다,반품
반하다,반대되다,반
반항,"저항, 대들다; 저항하다/거역하다/불응하다/항거하다",반항
받들다,"공경하다, 모시다, 존경하다, 추대하다",받들
받아들이다,"흡수하다; 맞다, 맞아들이다",받아들이
받침,받침대; 종성,받침
발걸음,걸음; 걸음,발걸음
발급,발부,발급
발길,왕래,발길
발꿈치,발뒤꿈치,발꿈치
발끝,발뒤꿈치,발끝
발단,시작,발단
발달,"성장, 자라다; 발전, 진보",발달
발돋움,돋움,발돋움
발등,발잔등,발등
발명,"개발, 고안, 창안",발명
발명가,발명자,발명가
발상,아이디어; 아이디어/사고방식,발상
발생,"생성, 생기다; 생기다; 일어나다",발생
발신자,발신인,발신자
발언,"진술, 말하다",발언
발음,발성,발음
발자국,자국; 발짝,발자국
발전,"발달, 번영, 성장",발전
발짝,발자국,발짝
발행,"간행, 발간, 출간, 출판, 펴내다",발행
밝히다,"내보이다, 진술하다",밝
밟다,누르다; 거치다,밟
밤낮밤낮,"주야; 밤낮, 불철주야",밤낮
밤중,야간,밤중
밥그릇,"일자리, 직장",밥그릇
밥맛,"식욕, 입맛",밥맛
밥벌이,벌다,밥벌이
밧줄,로프,밧줄
방망이,몽둥이,방망이
방면,"부문, 분야, 면, 측면; 방향",방면
방송사,방송국; 방송국,방송사
방식,"방법, 형식; 방법",방식
방안,방책; 방법/방침/대책,방안
방어,"수비, 디펜스, 막다; 변호/비위/방비",방어
방언,사투리,방언
방영,"상영, 방송; 방송",방영
방지,"예방, 막다; 예방하다/막다",방지
방청객,방청인,방청객
방치,"방관, 좌시; 방관하다/방기하다",방치
방침,"방안, 버려두다; 방안/주의",방침
방해,"장애, 저해",방해
방황,"방랑, 헤매다",방황
배경,"뒷배경, 후경; 후경; 이력/바탕",배경
배고프다,"출출하다, 허기지다",배고프
배다,"들다, 스며들다, 스미다",배
배부르다,부르다; 임신하다,배부르
배상,보상,배상
배설,"배출, 분비, 내보내다, 싸다",배설
배신,"배반, 저버리다",배신
배역,역할,배역
배열,배치,배열
배우자,"반려자, 배필; 짝",배우자
배웅,"송별, 바래다주다",배웅
배제,"배격, 배타, 배척; 제외하다/배척하다",배제
배출,"방출, 배기, 배설, 분비, 내보내다; 낳다; 내다/내뿜다/발산하다/방출하다",배출
배치,"배정, 안배; 배열하다/정리하다:사람이나 물자 따위를 일정한 자리에 알맞게 나누어 두다",배치
배터리,건전지,배터리
배포,"배달, 배부, 돌리다",배포
배회,"방황, 쏘다니다; 어슬렁거리다/얼쩡거리다:아무 목적도 없이 어떤 곳을 중심으로 어슬렁거리며 이리저리 돌아다니다.",배회
배후,막후,배후
백,가방; 가방,백
백성,국민,백성
백수,백수건달,백수
뱃속,"내심, 마음속, 속마음, 속생각",뱃속
버릇없다,"거만하다, 건방지다, 막되다, 무례하다",버릇없
버티다,배기다; 인내하다/견디다/참다,버티
벅차다,힘겹다,벅차
번갈다,"교대하다, 교체하다; 교대로/돌림으로",번갈
번거롭다,"번잡하다, 복잡하다; 귀찮다, 성가시다; 복잡하다; 거추장스럽다/번잡하다",번거
번번이,"매양, 매번; 매번/늘",번번이
번성,"번영, 번창; 번영하다/번창하다",번성
번역,역,번역
번영,"번성, 번창; 번창/번성/발전",번영
번지다,"퍼지다; 퍼지다, 전염되다, 확산되다; 퍼지다, 확산되다; 퍼지다, 확산되다",번지
번창,"번성, 번영; 번영하다/번서아하다",번창
번화하다,번성하다,번화
벌,"처벌, 징계, 형벌",벌
벌겋다,"발갛다, 붉다, 뻘겋다",벌겋
벌금,벌과금,벌금
벌레,버러지,벌레
벌리다,넓히다,벌리
벌이다,일으키다; 일으키다; 사업/잔치/시위/술판/전쟁/말다툼 등을,벌이
벌판,"광야, 들, 들판",벌판
범위,"범주, 폭, 한계, 한도",범위
범인,범죄인,범인
범죄,"범법, 죄",범죄
범죄자,범죄인,범죄자
범주,"부류, 카테고리",범주
범하다,저지르다,범하
법,법; 법률,법
법규,"규범, 규칙, 법, 법률, 제도",법규
법률,법,법률
법안,법률안,법안
법원,재판소,법원
법정,재판정,법정
법칙,"규범, 원칙",법칙
벗,"동무, 친구",벗
벗기다,"열다, 제거하다",벗기
벗어나다,"빠져나오다, 탈출하다; 탈출하다, 탈피하다; 어긋나다; 어긋나다",벗어나
베다,받치다; 자르다,베다
베풀다,"벌이다, 열다; 주다",베풀
벨,"종, 초인종",벨
벨트,허리띠,벨트
벼락,벽력,벼락
벼르다,"결심하다, 다짐하다, 마음먹다",벼르
벽시계,괘종시계,벽시계
변,변두리,변
변경,"개정, 수정, 변화, 바꾸다; 바꾸다",변경
변기,변기통,변기
변덕스럽다,변덕맞다; 내치락들이치락하/요사스럽다/도섭스럽다/요망스럽다,변덕
변동,"움직임, 변천, 변화; 변천",변동
변두리,"가장자리, 교외, 근교, 시외, 외곽",변두리
변명,핑계,변명
변모,"변신, 변형, 변하다",변모
변변찮다,보잘것없다,변변찮
변수,"미지수, 변인",변수
변신,"변모, 변하다",변신
변천,"변화, 변이; 변동/변신/변경/변화",변천
변함없다,"같다, 불변하다, 한결같다",변함없
변형,"변모, 변환, 바뀌다",변형
변호,변론,변호
변화,변천,변화
별개,별도; 별거/별리/독특,별개
별것,별거,별것
별나다,"별다르다, 엉뚱하다, 유별나다",별나
별다르다,특별하다,별다르
별도,"별개, 추가; 다른 방면. 다른 용도",별도
별말씀,별소리,별
별명,별호,별명
별안간,"갑자기, 난데없이, 느닷없이, 순간",별안간
별의별,별별,별의별
병들다,"병나다, 앓다",병들
병상,병석,병상
병세,"증상, 증세",병세
병실,환자실,병실
보고,"신고, 통지, 통보, 알리다; 보고; 본보기; 만나다",보
보관,"간수, 간직",보관
보급,"전파, 확산; 흔해지다",보급
보너스,상여금,보너스
보답,보은,보답
보람,"긍지, 낙, 만족감",보람
보류,유보; 연기다/미루다:어떤 일이 당장 처리되지 아니하고 나중으로 미루어지다,보류
보름,보름날,보름
보름달,만월,보름달
보물,보화,보물
보배,보물,보배
보복,앙갚음,보복
보살피다,"돌보다, 뒷바라지하다",보살피
보상,"보수; 변상, 배상; 배상/변상/위로금; 벌충하다/배샹하다/물어주다/변상하다",보상
보상금,배상금,보상금
보수,"급료, 급여, 대가, 봉급, 임금",보수
보완,"보강, 보충; 추가되다/부가되다:모자라거나 부족한 것을 보충하여 완전하게 되다",보완
보유,"소유, 소지, 가지다; 소유하다/소지하다/보관하다/보전하다",보유
보육,"양육, 기르다",보육
보육원,고아원,보육원
보자기,보,보자기
보잘것없다,"볼품없다, 초라하다형편없다; 불품없다/사소하다/하찮다/시시하다",보잘것없
보장,"담보, 보증",보장
보전,"보존, 보호, 지키다",보전
보조,"도움, 조력, 협조",보조
보조금,보조비,보조금
보존,"유지, 보전, 보호, 지키다; 유지하다/지키다/보호하다",보존
보증,"담보, 보장",보증
보충,"보강, 보완",보충
보태다,"더하다, 보충하다, 추가하다, 합하다",보태
"보편적∙, 보편적","일반적, 일반적; 일반화",보편
보호,"보전, 보존, 지키다; 지키다",보호
복,"축복, 행운",복
복구,"복귀, 복원, 회복; 회복하다/복원하다/복위시키다/되돌리다",복구
복귀,"복구, 회복, 되돌아가다",복귀
복도,통로,복도
복리,복지,복리
복부,배; 배,복부
복사,카피,복사
복수,"보복, 설욕, 앙갚음; 보복하다/설욕하다",복수
복용,먹다; 먹다,복용
복원,복구; 복구하다/회복하다/되돌리다,복원
복장,옷차림,복장
복제,복사; 복사/중복/이중; 복사하다,복제
복종,"굴복, 순종",복종
복지,복리,복지
복통,배앓이,복통
복합,"합성, 혼합; 다각적다각적",복합
본국,자국,본국
본뜨다,모방하다,본뜨
본래,본디,본래
본명,실명,본명
본받다,"따르다, 배우다",본받
본선,결선,본선
본성,천성,본성
본인본인,당사자,본인
본전,원금,본전
본질,"근본, 본바탕",본질
볼,뺨,볼
볼거리,구경거리,볼거리
볼일,"용건, 용무",볼일
봉우리,산봉우리,봉우리
봉지,봉투,봉지
뵈다,뵙다; 뵙다,뵈
부,풍요,부
부가,첨가,부가
부각,강조; 어떤 사물이 특징지어져 두드러지게 되다:강조되다,부각
부고,부음,부고
부근,"근방, 근처, 주변, 주위",부근
부끄러움,수치,부끄러움
부끄러워하다,수줍어하다,부끄러워
부닥치다,"부딪치다, 부딪히다, 맞닥뜨리다, 부닥뜨리다; 부딪치다, 부딪히다, 맞닥뜨리다, 부닥뜨리다",부닥치
부담,"담당, 내다; 짐; 짐스럽다; 의무/책임",부담
부도덕,비리,부도덕
부동산,복덕방,부동산
부득이,"부득불, 마지못하다",부득이
부디,"꼭, 아무쪼록, 제발",부디
부딪치다,"마주치다, 부닥치다, 부딪히다; 부닥치다, 부딪치다, 직면하다",부딪치
부딪히다,"부닥치다, 부딪치다; 부닥치다, 부딪치다, 직면하다",부딪히
부러워하다,선망하다,부러워
부러지다,"꺾이다, 절단되다",부러지
부르짖다,"소리치다, 외치다, 절규하다",부르짖
부리다,"사용하다, 시키다, 쓰다; 피우다; 피우다",부리
부모,"양친, 어버이",부모
부문,"분야, 영역; 경지/부류/분야",부문
부서,파트,부서
부서지다,"깨지다, 망가지다, 부스러지다",부서지
부수다,"깨다, 망가뜨리다, 허물다",부수
부실,"허약, 허하다; 엉성하다",부실
부여,주다; 주다,부여
부유하다,"넉넉하다, 유복하다, 윤택하다; 풍족하다/유복하다/포실하다",부유
부인,부정,부인
부재,없다,부재
부정,"부조리, 부패, 불공정; 부인; 부인하다/거절하다/거부하다",부정
부족,종족; 모자라다,부족
부주의,방심,부주의
부착,장착,부착
부채,"빚, 채무",부채
부처,석가모니,부처
부추기다,"꼬드기다, 부채질하다, 북돋우다, 조장하다, 종용하다; 사주하다/교사하다",부추기
부축,돕다,부축
부치다,달리다; 지지다,부치
부친,아버지,부친
부패,"부식, 썩다; 부정, 비리",부패
부풀다,"커지다, 팽창하다",부풀
부품,부속품,부품
부피,크기,부피
부하,수하,부하
부활,"재생, 환생, 회생, 되살아나다; 부흥, 되살아나다",부활
북,북쪽; 북쪽,북
북돋다,"고취하다, 격려하다",북돋
북돋우다,"고취하다, 격려하다; 격려하다/조장하다",북돋우
북미,북아메리카,북미
북받치다,터지다,북받치
북적거리다,"북적대다, 북적북적하다",북적거리
북한,이북,북한
분간,"구별, 구분, 변별, 분별, 판단; 구별하다/가래다",분간
분노,"노여움, 울분, 울화, 화; 격노/격분/노여움",분노
분담,"분임, 분장",분담
분량,양; 숱/양/용,분량
분류,"구별, 구분, 분리; 나누다",분류
분리,"격리, 구분, 분류, 분별",분리
분명히,"명백히, 명확히, 확실히",분명히
분배,배분; 배분하다/나누다,분배
분별,"구별, 변별, 판별; 분간하다/구별하다",분별
분산,산재,분산
분석,"분해, 해석; 분해하다",분석
분수,"주제, 분, 한도",분수
분실,유실; 잃다; 잃어버리다,분실
분실물,유실물,분실물
분야,"부문, 영역; 부문/방면",분야
분열,"갈라지다, 찢어지다; 갈라지다/갈리다/나누어지다:찢어져 나뉘다.",분열
분쟁,"다툼, 마찰; 갈등",분쟁
분주하다,바쁘다; 바쁘다; 바쁘다/급급하다,분주
분출,뿜다,분출
분필,백묵,분필
분하다,"억울하다, 원통하다",분하
분해,해체,분해
불가사의,"미스터리, 신비",불가사의
불경기,불황,불경기
불과,"겨우, 기껏해야",불과
불교,불법,불교
불구하다,무릅쓰다,불구
불균형,"편중; 불만; 손해; 불공평; 불명확, 불분명, 불투명; 비이성적이다/비논리적이다",불
불길,"불, 불꽃; 나쁘다, 흉하다",불길
불꽃,"불길, 섬광",불꽃
불러내다,호출하다,불러
불러오다,초래하다,불러오
불리,해; 늘리다,불리
불만,불만족,불만
불만족스럽다,불만스럽다,불만족
불명,"불분명, 불투명",불명
불모지,황무지,불모지
불법,비합법,불법
불분명하다,"불명확하다, 불확실하다",불분명
불빛,불꽃,불빛
불상,부처,불상
불쑥,불쑥이,불쑥
불어나다,"늘어나다, 증가하다, 커지다; 상승하다/인상하다/증가하다/커지다/늘어나다",불어나
불어넣다,주입하다,불어넣
불참,"불참석, 불참가",불참
불충분,부족,불충분
불치병,난치병,불치병
불평,불만,불평
불화,"갈등, 다툼, 부조화, 분쟁",불화
불황,불경기,불황
불효자,불효자식,불효자
붉은색,"홍색; 부끄러워하다, 성나다; 빨간색; 빨갛다",붉
붐,"대성황, 대유행, 성황",붐
붐비다,"복잡하다, 북적거리다, 북적대다, 북적이다, 북적북적하다, 혼잡하다; 북적대다",붐비
붓다,"부풀다; 담다, 따르다, 쏟다",붓다
붕괴,무너지다,붕괴
붙들다,붙잡다; 붙잡다; 붙잡히다,붙들
붙잡다,붙들다; 붙들다,붙잡
붙잡히다,붙들리다,붙잡히
뷔페,뷔페식당,뷔페
브랜드,상표,브랜드
비결,"노하우, 비법; 노하우",비결
비관,"절망; 절망적, 절망적",비관
비교적 비교적∙비교적,꽤,비교
비굴하다,"비열하다, 좀스럽다",비굴
비극,"불행, 비참, 슬픔",비극
비난,책망,비난
비단,단지,비단
비뚤어지다,일그러지다; 잘못되다,비뚤
비례,정비례; 비,비례
비로소,"그제야, 드디어, 마침내; 그제야/마침내/드디어",비로소
